#SampleID	Dataset	FullName	Condition_01	Condition_02	Condition_03	Date
ae-ba-1-27-03-23	1	ae-ba-1-27-03-23	ae	ba	ae_ba	27_03_23
ae-ba-2-27-03-23	2	ae-ba-2-27-03-23	ae	ba	ae_ba	27_03_23
ae-ba-3-27-03-23	3	ae-ba-3-27-03-23	ae	ba	ae_ba	27_03_23
ae-ba-4-27-03-23	4	ae-ba-4-27-03-23	ae	ba	ae_ba	27_03_23
ae-ba-5-27-03-23	5	ae-ba-5-27-03-23	ae	ba	ae_ba	27_03_23
ae-ba-6-27-03-23	6	ae-ba-6-27-03-23	ae	ba	ae_ba	27_03_23
ae-be-1-27-03-23	7	ae-be-1-27-03-23	ae	be	ae_be	27_03_23
ae-be-2-27-03-23	8	ae-be-2-27-03-23	ae	be	ae_be	27_03_23
ae-be-3-27-03-23	9	ae-be-3-27-03-23	ae	be	ae_be	27_03_23
ae-be-4-27-03-23	10	ae-be-4-27-03-23	ae	be	ae_be	27_03_23
ae-be-5-27-03-23	11	ae-be-5-27-03-23	ae	be	ae_be	27_03_23
ae-re-1-27-03-23	12	ae-re-1-27-03-23	ae	re	ae_re	27_03_23
ae-re-2-27-03-23	13	ae-re-2-27-03-23	ae	re	ae_re	27_03_23
ae-re-3-27-03-23	14	ae-re-3-27-03-23	ae	re	ae_re	27_03_23
ae-re-4-27-03-23	15	ae-re-4-27-03-23	ae	re	ae_re	27_03_23
ib-ba-1-27-03-23	16	ib-ba-1-27-03-23	ib	ba	ib_ba	27_03_23
ib-ba-2-27-03-23	17	ib-ba-2-27-03-23	ib	ba	ib_ba	27_03_23
ib-ba-3-27-03-23	18	ib-ba-3-27-03-23	ib	ba	ib_ba	27_03_23
ib-ba-4-27-03-23	19	ib-ba-4-27-03-23	ib	ba	ib_ba	27_03_23
ib-ba-5-27-03-23	20	ib-ba-5-27-03-23	ib	ba	ib_ba	27_03_23
ib-be-1-27-03-23	21	ib-be-1-27-03-23	ib	be	ib_be	27_03_23
ib-be-2-27-03-23	22	ib-be-2-27-03-23	ib	be	ib_be	27_03_23
ib-be-3-27-03-23	23	ib-be-3-27-03-23	ib	be	ib_be	27_03_23
ib-be-4-27-03-23	24	ib-be-4-27-03-23	ib	be	ib_be	27_03_23
ib-be-5-27-03-23	25	ib-be-5-27-03-23	ib	be	ib_be	27_03_23
ib-re-1-27-03-23	26	ib-re-1-27-03-23	ib	re	ib_re	27_03_23
ib-re-2-27-03-23	27	ib-re-2-27-03-23	ib	re	ib_re	27_03_23
ib-re-3-27-03-23	28	ib-re-3-27-03-23	ib	re	ib_re	27_03_23
su-ba-1-29-03-23	29	su-ba-1-29-03-23	su	ba	su_ba	29_03_23
su-ba-2-29-03-23	30	su-ba-2-29-03-23	su	ba	su_ba	29_03_23
su-ba-3-29-03-23	31	su-ba-3-29-03-23	su	ba	su_ba	29_03_23
su-ba-4-29-03-23	32	su-ba-4-29-03-23	su	ba	su_ba	29_03_23
su-ba-5-29-03-23	33	su-ba-5-29-03-23	su	ba	su_ba	29_03_23
su-ba-6-29-03-23	34	su-ba-6-29-03-23	su	ba	su_ba	29_03_23
su-be-1-29-03-23	35	su-be-1-29-03-23	su	be	su_be	29_03_23
su-be-2-29-03-23	36	su-be-2-29-03-23	su	be	su_be	29_03_23
su-be-3-29-03-23	37	su-be-3-29-03-23	su	be	su_be	29_03_23
su-be-4-29-03-23	38	su-be-4-29-03-23	su	be	su_be	29_03_23
su-re-1-29-03-23	39	su-re-1-29-03-23	su	re	su_re	29_03_23
su-re-2-29-03-23	40	su-re-2-29-03-23	su	re	su_re	29_03_23
su-re-3-29-03-23	41	su-re-3-29-03-23	su	re	su_re	29_03_23
