#SampleID	Dataset	FullName	Site	Condition
376B	1	376B	New-Caledonia	B
378B	2	378B	New-Caledonia	B
382A	3	382A	New-Caledonia	A
386A	4	386A	New-Caledonia	A
391A	5	391A	New-Caledonia	A
394B	6	394B	New-Caledonia	B
396B	7	396B	New-Caledonia	B
397A	8	397A	New-Caledonia	A
402A	9	402A	New-Caledonia	A
407B	10	407B	New-Caledonia	B
414A	11	414A	New-Caledonia	A
415B	12	415B	New-Caledonia	B
419A	13	419A	New-Caledonia	A
423B	14	423B	New-Caledonia	B
426B	15	426B	New-Caledonia	B
434B	16	434B	New-Caledonia	B
440B	17	440B	New-Caledonia	B
444A	18	444A	New-Caledonia	A
448A	19	448A	New-Caledonia	A
450A	20	450A	New-Caledonia	A
453A	21	453A	New-Caledonia	A
454A	22	454A	New-Caledonia	A
461A	23	461A	New-Caledonia	A
470B	24	470B	New-Caledonia	B
472B	25	472B	New-Caledonia	B
478B	26	478B	New-Caledonia	B
480A	27	480A	New-Caledonia	A
482B	28	482B	New-Caledonia	B
483B	29	483B	New-Caledonia	B
484B	30	484B	New-Caledonia	B
491B	31	491B	New-Caledonia	B
494A	32	494A	New-Caledonia	A
498A	33	498A	New-Caledonia	A
502A	34	502A	New-Caledonia	A
509A	35	509A	New-Caledonia	A
515A	36	515A	New-Caledonia	A
COP-BOC-1	37	Copacabana-BOC-1	Reunion	BOC
COP-BOC-2	38	Copacabana-BOC-2	Reunion	BOC
COP-BOC-3	39	Copacabana-BOC-3	Reunion	BOC
COP-SOU-1	40	Copacabana-SOU-1	Reunion	SOU
COP-SOU-2	41	Copacabana-SOU-2	Reunion	SOU
COP-SOU-3	42	Copacabana-SOU-3	Reunion	SOU
COP-SUR-1	43	Copacabana-SUR-1	Reunion	SUR
COP-SUR-2	44	Copacabana-SUR-2	Reunion	SUR
COP-SUR-3	45	Copacabana-SUR-3	Reunion	SUR
LIV-BOC-1	46	Livingstone-BOC-1	Reunion	BOC
LIV-BOC-2	47	Livingstone-BOC-2	Reunion	BOC
LIV-BOC-3	48	Livingstone-BOC-3	Reunion	BOC
LIV-SOU-1	49	Livingstone-SOU-1	Reunion	SOU
LIV-SOU-2	50	Livingstone-SOU-2	Reunion	SOU
LIV-SOU-3	51	Livingstone-SOU-3	Reunion	SOU
LIV-SUR-1	52	Livingstone-SUR-1	Reunion	SUR
LIV-SUR-2	53	Livingstone-SUR-2	Reunion	SUR
LIV-SUR-3	54	Livingstone-SUR-3	Reunion	SUR
TOB-BOC-1	55	Toboggan-BOC-1	Reunion	BOC
TOB-BOC-2	56	Toboggan-BOC-2	Reunion	BOC
TOB-BOC-3	57	Toboggan-BOC-3	Reunion	BOC
TOB-SOU-1	58	Toboggan-SOU-1	Reunion	SOU
TOB-SOU-2	59	Toboggan-SOU-2	Reunion	SOU
TOB-SOU-3	60	Toboggan-SOU-3	Reunion	SOU
TOB-SUR-1	61	Toboggan-SUR-1	Reunion	SUR
TOB-SUR-2	62	Toboggan-SUR-2	Reunion	SUR
TOB-SUR-3	63	Toboggan-SUR-3	Reunion	SUR
