#SampleID	Dataset	FullName	Site	Condition
2021-02_Rep_1	1	2021-02_Replicat_1	New-Caledonia	2021-02
2021-02_Rep_2	2	2021-02_Replicat_2	New-Caledonia	2021-02
2021-02_Rep_3	3	2021-02_Replicat_3	New-Caledonia	2021-02
2021-04_Rep_1	4	2021-04_Replicat_1	New-Caledonia	2021-04
2021-04_Rep_2	5	2021-04_Replicat_2	New-Caledonia	2021-04
2021-04_Rep_3	6	2021-04_Replicat_3	New-Caledonia	2021-04
2021-05_Rep_1	7	2021-05_Replicat_1	New-Caledonia	2021-05
2021-05_Rep_2	8	2021-05_Replicat_2	New-Caledonia	2021-05
2021-05_Rep_3	9	2021-05_Replicat_3	New-Caledonia	2021-05
2021-06_Rep_1	10	2021-06_Replicat_1	New-Caledonia	2021-06
2021-06_Rep_2	11	2021-06_Replicat_2	New-Caledonia	2021-06
2021-06_Rep_3	12	2021-06_Replicat_3	New-Caledonia	2021-06
2021-07_Rep_1	13	2021-07_Replicat_1	New-Caledonia	2021-07
2021-07_Rep_2	14	2021-07_Replicat_2	New-Caledonia	2021-07
2021-07_Rep_3	15	2021-07_Replicat_3	New-Caledonia	2021-07
2021-08_Rep_1	16	2021-08_Replicat_1	New-Caledonia	2021-08
2021-08_Rep_2	17	2021-08_Replicat_2	New-Caledonia	2021-08
2021-08_Rep_3	18	2021-08_Replicat_3	New-Caledonia	2021-08
2021-10_Rep_1	19	2021-10_Replicat_1	New-Caledonia	2021-10
2021-10_Rep_2	20	2021-10_Replicat_2	New-Caledonia	2021-10
2021-10_Rep_3	21	2021-10_Replicat_3	New-Caledonia	2021-10
2021-11_Rep_1	22	2021-11_Replicat_1	New-Caledonia	2021-11
2021-11_Rep_2	23	2021-11_Replicat_2	New-Caledonia	2021-11
2021-11_Rep_3	24	2021-11_Replicat_3	New-Caledonia	2021-11
2021-12_Rep_1	25	2021-12_Replicat_1	New-Caledonia	2021-12
2021-12_Rep_2	26	2021-12_Replicat_2	New-Caledonia	2021-12
2021-12_Rep_3	27	2021-12_Replicat_3	New-Caledonia	2021-12
2022-01_Rep_1	28	2022-01_Replicat_1	New-Caledonia	2022-01
2022-01_Rep_2	29	2022-01_Replicat_2	New-Caledonia	2022-01
2022-01_Rep_3	30	2022-01_Replicat_3	New-Caledonia	2022-01
2022-02_Rep_1	31	2022-02_Replicat_1	New-Caledonia	2022-02
2022-02_Rep_2	32	2022-02_Replicat_2	New-Caledonia	2022-02
2022-02_Rep_3	33	2022-02_Replicat_3	New-Caledonia	2022-02
2022-03_Rep_1	34	2022-03_Replicat_1	New-Caledonia	2022-03
2022-03_Rep_2	35	2022-03_Replicat_2	New-Caledonia	2022-03
2022-03_Rep_3	36	2022-03_Replicat_3	New-Caledonia	2022-03
